case_number	case_name	n_sequences	n_changes	group_name	gt_candidates	test_status	initial_region_span	gap_history	best_candidates	direction_L1	rank_L1_L2	bc_breakpoints_target	gt_breakpoints_target	p_value_vs_L1	p_value_vs_L2	alternative_candidates
2	MH030053.1	380	1423	A.1.NmC1	N/A	N/A	1-1336,1337-1423		A.1.NmC2 + A.1.NmC1	>>	N/A	1336-1337	N/A	5.30e-202	1.94e-12	[], []
2	MZ604862.1	380	1429	A.1.NmC1	N/A	N/A	1-1381,1382-1429		A.1.NmC2 + A.1.NmC1	>>	N/A	1381-1382	N/A	2.28e-217	9.33e-09	[], []
2	OQ714242.1	380	938	A.1.NmC1	N/A	N/A	1-279,280-288,442-938	279-442 -> 288-442	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	279-280, 441-442	N/A	2.11e-36	1.35e-77	[], []
2	ON022368.1	380	1369	A.1.NmC1	N/A	N/A	1-1267,1272-1369	1267-1272	A.1.NmC2 + A.1.NmC1	>>	N/A	1268-1269	N/A	5.20e-214	9.58e+06	[], []
2	OP508590.1	380	850	A.1.NmC1	N/A	N/A	1-55,56-96,97-850	55-97 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	55-56, 96-97	N/A	2.01e-07	3.53e-41	[], []
2	OP508602.1	380	863	A.1.NmC1	N/A	N/A	1-846,847-848,849-863	846-849 -> 	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	846-847, 848-849	N/A	5.41e-03	8.13e-62	[], []
2	OP508604.1	380	620	A.1.NmC1	N/A	N/A	1-123,124-248,249-620	123-249 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	123-124, 248-249	N/A	1.03e-39	2.82e-41	[], []
2	OP508608.1	380	694	A.1.NmC1	N/A	N/A	1-272,273-302,303-694	272-303 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	272-273, 302-303	N/A	2.79e-25	9.60e-47	[], []
2	OP508706.1	380	1455	A.1.NmC1	N/A	N/A	1-1435,1452-1455	1435-1452	A.1.NmC2 + A.1.NmC1	>>	N/A	1435-1436	N/A	8.59e-190	1.31e+03	[], []
2	OP508626.1	380	756	A.1.NmC1	N/A	N/A	1-281,282-314,315-756	281-315 -> 	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	281-282, 314-315	N/A	2.20e-22	3.50e-51	[], []
2	OP508628.1	380	774	A.1.NmC1	N/A	N/A	1-712,713-730,731-774	712-731 -> 	A.1.NmC1 + A.1 + A.1.NmC1	>>	N/A	712-713, 730-731	N/A	3.47e-04	2.81e-32	[], []
2	OP508681.1	380	1435	A.1.NmC1	N/A	N/A	1-1425,1428-1435	1425-1428	A.1.NmC1 + A.1.NmC2	>>	N/A	1427-1428	N/A	9.07e+00	5.58e-220	[], []
2	OP508646.1	380	759	A.1.NmC1	N/A	N/A	1-123,124-152,291-759	123-291 -> 152-291	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	123-124, 290-291	N/A	1.94e-19	7.29e-47	[], []
2	OP508659.1	380	874	A.1.NmC1	N/A	N/A	1-162,163-237,315-874	162-315 -> 237-315	A.1.NmC1 + A.1 + A.1.NmC1	<<	N/A	162-163, 314-315	N/A	9.46e-20	4.61e-67	[], []
2	OP508704.1	380	1431	A.1.NmC1	N/A	N/A	1-1421,1424-1431	1421-1424	A.1.NmC1 + A.1.NmC2	>>	N/A	1423-1424	N/A	9.12e+00	1.89e-224	[], []
2	OP508678.1	380	1440	A.1.NmC1	N/A	N/A	1-1422,1425-1440	1422-1425	A.1.NmC1 + A.1.NmC2	>>	N/A	1424-1425	N/A	5.37e-06	6.17e-222	[], []
2	OP508698.1	380	1450	A.1.NmC1	N/A	N/A	1-1424,1434-1447,1448-1450	1424-1448 -> 1424-1434	A.1.NmC1 + A.1.NmC2 + A.1.NmC1	>>	N/A	1433-1434, 1447-1448	N/A	5.00e-04	1.06e-209	[], []
2	OP508680.1	380	1445	A.1.NmC1	N/A	N/A	1-1428,1429-1442,1443-1445	1428-1443 -> 	A.1.NmC1 + A.1.NmC2 + A.1.NmC1	>>	N/A	1428-1429, 1442-1443	N/A	4.98e-04	2.58e-264	[], []
2	OP508695.1	380	1448	A.1.NmC1	N/A	N/A	1-1423,1433-1448	1423-1433	A.1.NmC1 + A.1.NmC2	>>	N/A	1432-1433	N/A	1.63e+10	1.05e-211	[], []
2	OP508686.1	380	1439	A.1.NmC1	N/A	N/A	1-1419,1429-1439	1419-1429	A.1.NmC1 + A.1.NmC2	>>	N/A	1428-1429	N/A	2.14e-01	1.86e-205	[], []
3	OQ932914.1	836	1170	A.1	N/A	N/A	1-1098,1152-1170	1098-1152	A.1.NmC2 + A.1.NmC1	>>	N/A	1151-1152	N/A	6.70e-194	1.89e-37	[], []
3	MH666056.1	836	1430	A.1	N/A	N/A	1-1154,1355-1430	1154-1355	A.1.NmC2 + A.1.NmC1	>>	N/A	1231-1232	N/A	3.22e-240	5.34e-54	[], []
